id,text,emotion,intensity,gender,age
562,When I saw all the starving people in Ethiopia on T.V.  It felt á awful to see such suffering.,disgust,1,male,23
563,When a mistake occurred at work which I was not responsible for.  á This was disclosed later.,guilt,2,male,23
564,When I called my boyfriend he asked me if I would live with him.,joy,4,female,21
565,Last Summer in Italy I was attacked by a dog.It was terrible to á feel that untidy dirty dog against my naked skin.,fear,4,female,21
566,When my father's new fiancee treats me like a child.  She does á not trust me and constantly misunderstands me.  I get á particularly angry when she says nasty things about my boyfriend á with whom she works.,anger,2,female,21
567,"When the guy I was in love with told me that he had met someone á else and that we would not meet again for a year.  Although we á did not have a steady relatioship, we were having an affair.",sadness,4,female,21
568,When my love for a guy was returned.,joy,4,female,22
569,"When I think of death - not my own but that of my parents, á brothers and sisters.",fear,2,female,22
570,My parents did not approve my choice of a boyfriend (now an á ex-boyfriend).  He happened to be 13 years older than me and he á was considered completely unsuitable for me.  IDIOT.,anger,4,female,22
571,When my uncle comes (3 times a year) for the traditional á Christmas dinner with my grandparents and other relatives and is á very drunk.,disgust,3,female,22
572,I was living at home during the Summer vacations and towards the á end decided to take some of my clothes and other belongings to á the appartment in Guttenburg.  When I had finished I went to my á ex-boyfriend's (relationship uncertain) home and stayed there á till 5 A.M.  I had to leave then as my parents needed the car for á work in the morning.  My parents do not like my boyfriend.,guilt,3,female,22
573,I met my present boyfriend on a boat trip to England.  We had á said that we would call each other when we got back to Sweden (we á were not going to the same town in England).  As soon as I walked á in he called from England as he could not wait till he came á home.,joy,4,female,24
574,When my mother's heart nearly stopped.,fear,2,female,24
575,"There was a sofa in my flat which belonged to the old tenants who á were acquaintances.  It should have been picked up a year ago but á they had postponed it.  Eventually they decided on one date and I á stayed at home despite the fact that I had other things to do.  á They did not come, nor did they call and they still have not got á in touch with me.",anger,2,female,24
576,When my ex-boyfriend and I separated.,sadness,3,female,24
577,"Very intoxicated men who incite each other to fight.   I met a á vile smelling man on the tram who got closer and closer to me á till I got up, then he got angry.",disgust,4,female,24
578,[ Do not remember any situation of that kind.],shame,0,female,24
579,When my nephew asked me to tell him a story and I simply did not á have the energy or the will.  When I saw his disappointment I was á terribly guilty and read a story to him after all.,guilt,2,female,24
580,When I fell in love.,joy,3,male,28
581,"Earlier, I was afraid of speaking in front of a crowd of people.",fear,2,male,28
582,A girl I was with went off with another guy.,anger,2,male,28
583,At set-backs.,sadness,2,male,28
584,I worked in a harbour and emptied latrine containers from the á back of the lorries.,disgust,2,male,28
585,The day after the night I drank too much at a party.,shame,3,male,28
586,[ Can not think of anything.],guilt,0,male,28
587,When I was accepted as a student of Psychology here at á Gutttenburg.,joy,3,female,24
588,I woke up in the middle of the night as I had jumped and shouted á with fear.  I thought that someone's cold hand or something á similar had touched my hand.  I crept down under the covers and á went back to sleep.,fear,4,female,24
589,When I was a young teenager (14)  my brother-in-law to be had á made heavy advances to me.  I did not understand very well what á it was all about but I reacted strongly and the feelings are á still there.,disgust,3,female,24
590,I broke off with my partner as I wanted him as a friend and not á as a lover.  He reacted very violently and I felt guilty as I á had made him so desperately unhappy.,guilt,3,female,24
591,I made dinner for some friends and they appreciated it very much.,joy,2,female,21
592,I was nearly knocked down while I was cycling.,fear,3,female,21
593,My father and I had an argument because I do not help enough at á home.,anger,1,female,21
594,I had intercourse with someone and then I realized that what I á had done was wrong and it disgusted me.,disgust,4,female,21
595,[ Do not know.],shame,0,female,21
596,I said nasty things which I did not mean to a friend.,guilt,3,female,21
597,After intercourse.,joy,4,female,22
598,Disappointment over a friend.,fear,2,female,22
599,Quarrelled with my younger brother.,anger,4,female,22
600,When I woke up after a nightmare.,sadness,3,female,22
601,Helping older people on the toilet.,disgust,2,female,22
602,[ Can not think of anything.],shame,0,female,22
603,Squeezed the puppy in the door.,guilt,2,female,22
604,When I was notified that I had been accepted as a Psychology á student.,joy,2,male,27
605,Motor failure on a boat outside Gottenburg when we were in heavy  á seas and the wind was strong.  As we could not steer the boat we á drifted towards the rocks.  We did not succeed in attracting the á attention of any passerby until 4 hours had elapsed.,fear,3,male,27
606,A lady I live with had not bothered to clean up before she went   á on holiday (I live in a collective).,anger,4,male,27
607,When I heard that a good friend had committed suicide.,sadness,4,male,27
608,I was present when they found a shop-keeper dead in his shop.  á He had been shot with a shotgun at close range.,disgust,4,male,27
609,[ I do not remember when I last felf ashamed.  I do not usually á feel ashamed of what I do.],shame,0,male,27
610,My mother accused me of not visiting her enough when she was in á hospital for an eye operation.,guilt,1,male,27
611,"After I had made my debut at Ullevi against IFK, Gottenburg and á got a good write up in the paper.",joy,2,male,24
612,"When I was 7-8 years old, I woke up one night and found myself á alone at home.  My mother had gone out to buy cigarattes from a á machine.",fear,3,male,24
613,When I found out that I had failed to pass my exams during the á term by one point.  The fact that exactly the same thing had á happened last term did not help.,sadness,3,male,24
614,"When I was touring Asia with my present football team, I saw old á Europeans with young asiatic prostitutes.",disgust,3,male,24
615,As an evening class teacher I got positive feedback.  When the á atmosphere is good and a kind of relaxed understanding exists.,joy,2,male,28
616,After mischieviously ringing on the chemist's trade-entrance á doorbell and getting caught by him.,fear,3,male,28
617,The sight of a man who ran amok (fighting) at a dance.,anger,3,male,28
618,When out of work.,sadness,3,male,28
619,"With my mouth full of bun, I drank directly from a packet of milk á which turned out to be weeks old (completely separated).  It took á a while for the milk to seep through the bun.",disgust,3,male,28
620,A boy who shot dead a squirrel.,guilt,2,male,28
621,When I was accepted as supervisor for a student teacher.  The á notification came by post.,joy,2,female,30
622,"When I was involved in a car accident last November, after the á first fall of snow.  I lost control of the car and it spun round á and landed on the opposite side of the road, on the hard á shoulder.  It was stopped by a pole on top of a bank sloping down á to a stream.",fear,4,female,30
623,"With the job appointments committee when the headmaster in charge á explained that a male teacher was more suitable for the á particular post.  I had more years of service than the male á teacher, but this was not taken into consideration.  I could have á been given a less attractive job if things had gone the way the á headmaster wanted.",anger,4,female,30
624,A colleague's 17 year old daughter is seriously ill with cancer á and has only a year to live.  I  heard about it 6 weeks ago.,sadness,4,female,30
625,"When a close friend met me at the station in the middle of the á night, when I came back from a long and tiring journey.",joy,4,female,21
626,"Having quarreled with a boyfriend, he threatened to leave me.",fear,4,female,21
627,Someone didn't show up at a meeting in spite of having agreed to á come.,anger,3,female,21
628,"When I understood that my marriage was falling apart, and we á decided to be legally separated.",sadness,4,female,21
629,"At an anti-pornography meeting, when samples from films and á magazines were shown.",disgust,4,female,21
630,Comments from other children on my alcoholic father,shame,4,female,21
631,"Having failed to help with the 5th of March arrangements (Women's á Day), although I had previously promised to take part in the á work.",guilt,3,female,21
632,"When I was able to buy my new car, after lots of problems.",joy,1,male,25
633,"After my car accident, when I woke up in a heap of stones.",fear,4,male,25
634,"When I tried to put up a tent some years ago, I was teased and á hindered by my cousin.",anger,4,male,25
635,When my grandfather died.,sadness,3,male,25
636,"Hit a dog with my car, and didn't stop.",shame,2,male,25
637,"Car accident. I let a 16-year old, incompetent parson take the á wheel and I feel very guilty about what happened even though I á suffered the worst injuries.",guilt,3,male,25
638,When I was admitted to a certain school as a student.,joy,2,male,26
639,My father has a chronic desease. In the autumn of 1983 he had a á very strong fit or seizure.,fear,2,male,26
640,"A drunken friend of mine was beating up another friend, who was á also drunk.",anger,3,male,26
641,When I didn't get a certain job at Lillehammer which I wanted á very much.,sadness,2,male,26
642,My boss on the job failed to keep his promise about something he á knew was extremely important to me.,disgust,2,male,26
643,An exam where questions about very specific knowledge were asked.,shame,3,male,26
644,I hit my little sisiter on the head with a stone while we were á fighting.,guilt,3,male,26
645,"A \near-accident\"" in a car, driving too fast on an icy road.""",fear,4,male,22
646,"My mother and her friends were speaking badly about my father á when they were separated, and my brothers and sisters and myself á were allowed to listen.",anger,4,male,22
647,"Being bored in school, not being able to marry and have children.",sadness,2,male,22
648,When my mother's new husband treated her and my brothers and á sisters badly.,disgust,4,male,22
649,Stealing from my mother's purse when I was a little boy.,shame,3,male,22
650,"I was in hospital, and then was visited by someone quite á unexpected.",joy,2,male,26
651,"I was hunting, and was lost in the fog in the mountains.",fear,3,male,26
652,"I was accused of a misdemeanour, unjustly.",anger,1,male,26
653,Slaughtering of animals.,disgust,1,male,26
654,"I entered the wrong room, and got into a bed where someone á already was sleeping.",shame,3,male,26
655,I failed to show up at an agreed date.,guilt,2,male,26
656,"When I finally managed to get a specific sound from my guitar, á after baving tried for a long time.",joy,3,male,28
657,"Climbing a mountain, I got stuck and realized I could get neither á up nor down.",fear,1,male,28
658,Meeting generally dominating persons in social occasions.,anger,4,male,28
659,"Discovering that Lillehammer provided no musical environment that á suits my taste, even though I had been told so.",sadness,3,male,28
660,When the cast general election resulted in Norway getting a á conservative government.,shame,3,male,28
661,A friend of mine shot himself through the head after having told á me and others that he would do so.,guilt,4,male,28
662,When my children were born.,joy,4,female,33
663,When I almost ran over a small boy who suddenly was in front of á my car.,fear,4,female,33
664,"When my father phoned me to come home from my vacation, since he á no longer had the time to look after my garden and animals.",anger,4,female,33
665,When I was told that a good friend was seriously ill.,sadness,3,female,33
666,When I learned that a relative had been spreading rumours about á me.,disgust,4,female,33
667,"I was talking badly about a person to some friends, and á discovered that his daughter was listening.",shame,3,female,33
668,"When my ex-husband left our house, and the children cried because á he was not coming back.",guilt,3,female,33
669,"When my special friend said \I love you\"" for the first time.""",joy,4,female,21
670,"After having watched a crime show on the TV, I was about to take á the dog for a walk. Then, suddenly, there was a man on the á porch... (We live some distance away from other people).",fear,4,female,21
671,When an earlier friend was spreading negative rumours about me.,sadness,4,female,21
672,"There is a certain person, whom I only have seen. He makes me á cringe, feel disgust.",disgust,2,female,21
673,Cheating to get the best grade on a test in 7th grade.,shame,4,female,21
674,"A kitten had wandered into our office, and I was told to take it á back across the street. When I crossed back, the kitten followed á me and was run over and killed by a car.",guilt,4,female,21
675,When my term paper was evaluated.,joy,2,female,21
676,"After seeing a terror movie at the cinema, I was so scared that I á couldn't even drive the car into the garage. I often thought á about the film afterwards, hoping such things couldn't exist in á the \real world\"".""",fear,3,female,21
677,"Angry with my brother, who was making fun of me, teasing me.",anger,2,female,21
678,When my gradmother died.,sadness,4,female,21
679,I overreacted towards my mother and felt ashamed afterwards.,shame,3,female,23
680,"When my parents work very hard and get tired - while I go to á school and study instead of helping them. I feel that I'm letting á them down, disappointing them.",guilt,3,female,23
681,Got in touch with earlier friends after a long absence.,joy,3,male,29
682,I lost my way on a trip in the mountains.,fear,3,male,29
683,The death of a close friend.,sadness,4,male,29
684,"Was confronted with a person having negative thoughts of other á people because of their social status, beliefs, color and á outlook on life (perspective).",disgust,4,male,29
685,"Feeling inadequate in a group situation, being unable to convey á my own thoughts and feelings.",shame,3,male,29
686,I failed to complete a working task within the agreed time.,guilt,3,male,29
687,Receiving a much wanted letter from a very good friend who lives á abroad.,joy,3,female,26
688,"Before getting back the results of a test in school, when I had á worked very hard and was worried about not succeeding.",fear,2,female,26
689,"One of my best friends accused me of giving up to early on á problems. It was only a casual remark on her side, but I was á angry and hurt.",anger,2,female,26
690,"Realizing that school will soon be over, and we will all go á different ways, perhaps never meeting again our friends from this á year.",sadness,3,female,26
691,In a public swimming hall I saw a very aggressive man who á practically attacked the children who got in his way when he was á swimming.,disgust,2,female,26
692,"I was making very strong statements about infidelity in couples. á Then I discovered that one of my best friends, who had just been through á a very sad case of mutual infidelity, was listening.",shame,3,female,26
693,"I had planned a trip to the South during Easter, together with a á friend. She was very sorry when I changed my mind and decided not á to go after all.",guilt,3,female,26
694,"A friend which I hadn't seen for years, sent me a small present.",joy,0,female,27
695,"One dark night with no street lights, a car was obviously á following me.",fear,4,female,27
696,"I was subject to false accusations, and got very angry.",anger,3,female,27
697,I was told by a good friend that we couldn't be friends any more á because of his relationship with another girl.,sadness,4,female,27
698,"This is difficult, since I don't remember feeling disgust towards á anyone.",disgust,0,female,27
699,"If I don't go to lectures, I often feel ashamed.",shame,0,female,27
700,I was very angry with a girlfriend for interferring a little too á much with my personal affairs. I told her so rather strongly and á she started crying.,guilt,3,female,27
701,"When my fiancee travelled 2000 Km to visit me, and I hadn't seen á her for 4 months.",joy,3,male,22
702,"I was beaten up at a private New Year's party once, through no á fault of mine.",fear,3,male,22
703,"I felt unfairly treated at an airport, being told to use a á different counter (for domestic traffic only).",anger,2,male,22
704,When my grandmother died.,sadness,2,male,22
705,The murder of two girls on a school trip to Berlin (and sexual á crimes generally) a couple of years ago.,disgust,3,male,22
706,When taking part in the mobbing of one of my best friends in á primary school.,shame,2,male,22
707,"When I secretly tried smoking for the first time, being 12 years á old.",guilt,2,male,22
708,"When the person that I was very fond of, returned to me.",joy,4,female,22
709,Not applicable to myself.,fear,0,female,22
710,When students in our working group showed no responsibility or á interest in our work.,anger,4,female,22
711,A very close friend left me.,sadness,4,female,22
712,"Some people were unfairly treated, because of their á nationality/colour.",disgust,3,female,22
713,Taking part in the mobbing of some girls in my class in primary á school.,shame,2,female,22
714,Not applicable to myself.,guilt,0,female,22
715,A close acquaintace cried for me. I felt happy because somebody á cared.,joy,4,female,20
716,A letter from my boyfriend began in such a way that I thought he á was going to end our relationship. I was afraid of reading the á rest.,fear,4,female,20
717,A woman I know is slowly dying from cancer. Observing this á process makes me sad.,sadness,3,female,20
718,Close friends talking badly of other friends.,disgust,2,female,20
719,"My father died after two very painful weeks in bed. I felt á relieved, and was ashamed of that.",shame,4,female,20
720,"We had a day off from school. Instead of helping my mother with á her job, I stayed in bed all day.",guilt,3,female,20
721,Renewed contact with an earlier friend.,joy,3,female,22
722,Fearing the use of power or reprimands when I belong to the á minority.,fear,3,female,22
723,"A close friend first said he accepted an agreement, but later á used that agreement as a reason for attacking me.",anger,2,female,22
724,When realizing that my girlfriend and myself in fact had started á the process of breaking up.,sadness,2,female,22
725,"Political and military trnsgressions around the world, generally á speaking. This cannot be described through this questionaire.",disgust,0,female,22
726,Was accused of having hidden intentions in a situation when I á believed I was acting honestly and fairly.,shame,3,female,22
727,"When my aunt took her own life, I felt guity for not á understanding that she needed support.",guilt,4,female,22
728,"Receiving a postcard form my sweetheart who was abroad on á vacation, not being at all sure if he would write me or not.",joy,4,female,19
729,Doesn't apply.,fear,0,female,19
730,"When I tried to breake it up with my boyfriend, and he refused to á let me go.",anger,4,female,19
731,Having to go back home form the U.S. after having been there for á ten weeks to visit my brother and his family.,sadness,4,female,19
732,Doesn't apply.,disgust,0,female,19
733,Doesn't apply.,shame,0,female,19
734,Finding my glasses again after having lost them in town.,joy,2,male,23
735,Falling off a cliff in the mountains.,fear,4,male,23
736,Having a fight with a class mate.,anger,4,male,23
737,When the gear broke on my car.,sadness,1,male,23
738,Can't remember having had this feeling.,disgust,0,male,23
739,Can't remember that feeling.,shame,0,male,23
740,I forgot to lock the outside door at my Land Lady's place.,guilt,2,male,23
741,I got a job right after school was over.,joy,3,female,21
742,Going home alone through the forest after a girl guide (scout ?) á meeting.,fear,2,female,21
743,At the death of a close relative.,sadness,4,female,21
744,"Having been unjustly punished, I feel disgust towards the person á responsible.",disgust,3,female,21
745,Being caught in changing the truth (lying).,shame,3,female,21
746,"Doing something wrong at home, and then letting my (normally) á more rampant brother take the blame.",guilt,2,female,21
747,Having passed the exam required to be an authorized Radio/TV á dealer.,joy,3,male,25
748,"Climbing a mountain where the rocks were very loose. When we á realized the danger, we were very high up, but still had a long á climb ahead.",fear,3,male,25
749,"Being a spokesman for the union, I got into a quarrel with a á colleague who had been acting disloyally over a sustained period á of time.",anger,3,male,25
750,"When my grandfather died, with whom I had a very close á relationship.",sadness,4,male,25
751,"Reading about executions and massacres which happened during á World War II, I felt disgust towards those who did it.",disgust,3,male,25
752,"I woke up at the house of someone I knew, not remembering very á much about what had been said or done during the party on the á previous night.",shame,2,male,25
753,"Borrowing a car, and then having a minor accident (breaking a á headlight).",guilt,3,male,25
754,Succeeding in helping others.,joy,1,male,27
755,"When I realized that we are living on borrowed time, and that the á nuclear holocaust appears to come closer every day.",fear,4,male,27
756,"When others let me down, fail to keep agreements.",anger,2,male,27
757,Death in the close family.,sadness,3,male,27
758,When people manipulate others through appearing better than what á they really are.,disgust,3,male,27
759,Participating in a theft several years ago.,shame,3,male,27
760,"Feeling helpless, not being able to accomplish what I really á wanted to do.",guilt,3,male,27
761,I received the message that I'd been accepted at the school where I á really wanted to go.,joy,3,female,21
762,I came home and discovered that someone had broken in. Then I á realized that they probably were still there.,fear,4,female,21
763,I was accused of having drunk a bottle of liquor and then á refilling with water.,anger,2,female,21
764,"Got a package from my parents, without even a small note á enclosed.",sadness,4,female,21
765,"Quarreling with my father, when he made false assertions.",disgust,4,female,21
766,Telling friends about how my parents had been treating my á brothers and sisters unfairly.,shame,2,female,21
767,"I've always defended my sister when needed, at the expense of my á brother. This has led to feelings of guilt towards him.",guilt,3,female,21
768,Winning the local soccer championships this year was a great joy.,joy,2,male,22
769,Before important sports events.,fear,2,male,22
770,When colliding with my car. I myself was to blame.,anger,3,male,22
771,"Not succeeding in a cross-country skiing competition, which I á intended to win.",sadness,3,male,22
772,Can't remember any episode of disgust.,disgust,0,male,22
773,"When I got really drunk on Norvegian Indipendence Day, and was á not allowed to participate in football (soccer) games for two á weeks. That was very unpleasant.",shame,3,male,22
774,When I and the boy next door set fire to a house by accident.,guilt,4,male,22
775,Getting the top price in the football pools.,joy,3,male,23
776,Was threatened with a knife ... in the military by soldiers form á another unit. The reason was girls.,fear,3,male,23
777,When my mother treats me as a 10-year old boy.,anger,3,male,23
778,Getting to know that my uncle in America had a brain tumor.,sadness,2,male,23
779,"Outside a night club, a grown man was sitting on top of a younger á woman, beating her up.",disgust,4,male,23
780,"My father was a member of the public Alcohol and Drugs Board, á when I was picked up by the police for being drunk in a public á place.",shame,3,male,23
781,"When being illoyal (disloyal) to people close to me. Had such an á episode with my sister, who should have received my support and á attention.",guilt,2,male,23
782,"Receiving close friends form abroad, whom I hadn't seen for á years.",joy,3,male,32
783,"Motorcycle accident with two people involved, running off the á road. Broke an arm, only.",fear,3,male,32
784,"Having agreed to share the taxi expenses, three people in the á back of the car just ran off, leaving the person up front with á the entire bill.",anger,3,male,32
785,Death of a close friend.,sadness,3,male,32
786,Can't remember any such feelings now.,disgust,0,male,32
787,"At a private party I literally fell into the food. The party was á completely ruined for the host, carpets had to be cleaned, etc.",shame,3,male,32
788,"Accidentally dropped a friends camera flash, so that it was á broken.",guilt,3,male,32
789,Selling my used car.,joy,2,male,23
790,"Almost crashing my car, something which could have led to great á problems.",fear,2,male,23
791,Realizing that a friend had been talked into signing a certain á contract.,anger,4,male,23
792,"Talking to a pensioned and bitter \street order\"" policeman.""",sadness,2,male,23
793,The sadistinc exacution of a student in the USA.,disgust,3,male,23
794,Forgetting an important appointment.,shame,3,male,23
795,Not keeping a promise of delivering materials of great importance á to the receiver.,guilt,2,male,23
796,Managed to run 30 Km on skis fairly simply.,joy,2,male,25
797,Afraid I wouldn't catch the train when I was going to see my á sweetheart.,fear,1,male,25
798,Receiving personal criticisms early in the morning.,anger,2,male,25
799,Seeing a pornographic film when looking for a place to live.,disgust,3,male,25
800,When unjustified hurting other people.,shame,2,male,25
801,"The negative feelings towards me displayed by my á \parents-in-law\"".""",guilt,2,male,25
802,Reunion with my wife after a legal separation.,joy,4,male,30
803,"The house was on fire, and I was saved by the dog. I am afraid of á the fire, verging on panic.",fear,4,male,30
804,Maltreatment of children.,disgust,4,male,30
805,I lost my driver's licence because of speeding.,shame,4,male,30
806,"Car accident, hurt three of my closest family.",guilt,4,male,30
807,Relating to my closest family.,joy,3,male,22
808,"Thinking of the unknown, what happens at the moment of death, á etc.",fear,3,male,22
809,"In traffic I often get relatively angry with other drivers. á Several transgressions make me mad, especially not yielding to á priority traffic (e.g. coming from the right).",anger,3,male,22
810,"Losing close people and animals. So far, I've felt most when á losing our dog in a traffic accident.",sadness,4,male,22
811,I feel disgust towards those who are responsible for the death of á others.,disgust,3,male,22
812,"Talking about a person's unattractiveness, not realizing that the á person was listening.",shame,3,male,22
813,"I often feel guilty, and it has to do with other people, e.g. if á I haven't visited my older relatives for a while.",guilt,2,male,22
814,When the contract about my shop was signed.,joy,3,male,23
815,"Being very close to having an auto accident, almost driving off á the road.",fear,4,male,23
816,"Having gone to school without learning anything, as usual.",anger,4,male,23
817,"My sweatheart were away on a trip, and then she got problems.",sadness,3,male,23
818,Overeating a traditional type of food - blood pudding.,disgust,4,male,23
819,Forgot to do some shopping that I had promised to do.,shame,2,male,23
820,I crashed my father's car.,guilt,2,male,23
821,Receiving a letter form a girl that means a lot to me á emotionally.,joy,2,male,25
822,Being close to drowning.,fear,4,male,25
823,Does not apply.,disgust,0,male,25
824,"Having finally to admit I was wrong, after having denied it for a á long time.",shame,3,male,25
825,Being aggressive against members of my family.,guilt,3,male,25
826,I won the country ski championship.,joy,2,male,23
827,I was scared in the dark when I was a little boy.,fear,3,male,23
828,Angry when our team (small boys) lost the county championship á football final.,anger,3,male,23
829,My grandfather's death.,sadness,3,male,23
830,"A teacher gave me lower grades than I was entitled to, and was á hoping for.",disgust,3,male,23
831,Was caught stealing apples in a neighbor's garden.,shame,2,male,23
832,Not helping parents enough at home and at the farm - this has á happened many times.,guilt,2,male,23
833,"When the bank let me borrow some money this winter, after my á grant was spent.",joy,3,male,27
834,"Once I was stopped by the police in Spain, when I had some á \grass\"" in my tobacco.""",fear,4,male,27
835,"My father accused my brother of having bumped his car, and it was á wrong.",anger,2,male,27
836,Fighting with my father while drunk.,shame,4,male,27
837,During 7th grade our class mobbed a famale teacher so badly that á she had a breackdown and was hospitalized.,guilt,4,male,27
838,I am a school teacher. At a teacher-parent meeting I received a á good deal of positive feed-back on my work both from the parents á and through them from the pupils.,joy,2,male,25
839,"As a child, when I was at home alone, I felt in an indefinate á manner afraid of the death of my father and mother.",fear,2,male,25
840,"I had a discussion with my mother concerning my sister's divorce, á we disagreed strongly.",anger,1,male,25
841,As a ten-year-old I was at the funeral of my grand-father.  It was more á the ceremonies held in the church and not really the death of my á grand-father which made me sad.,sadness,2,male,25
842,"I had a discussion with my wife about an over-weight acquaintance of á our's, about her eating habits and the scars caused by her á pregnancy.",disgust,1,male,25
843,When I confessed to my girl-friend (now my wife) that I had á betrayed her with another woman.,shame,4,male,25
844,"The same as in \shame\"".""",guilt,4,male,25
845,[ I was thinking about death.],fear,2,male,30
846,A conflict with a pupil.,anger,2,male,30
847,When I am at home alone.,sadness,2,male,30
848,A saturday night a bus full of drunken people.,disgust,2,male,30
849,A conflict with a pupil and there were probatory teachers á present.,shame,1,male,30
850,Selling the appartment after my divorce.,guilt,2,male,30
851,When in an economic crisis I got an unexpected sum of money.,joy,2,male,24
852,In the dark an unreal figure formed by a shadow.,fear,2,male,24
853,"[ When I was treated unfairly, regardless of my motives or deeds.]",anger,2,male,24
854,When I noticed obvious marks of old age (in a negative sense) on á a close relative of mine.,sadness,2,male,24
855,"As a child, when I saw an \unesthetic\"" sight.""",disgust,3,male,24
856,"On a social occasion, I noticed that I reacted on the basis of my á autonomous nerve system (I could not help it).",shame,2,male,24
857,When I caused needless anxiety to a person close to me because of á my lack of self-insight.,guilt,2,male,24
858,I was coming home from an exam and I supposed that I had á passed it so I ran to a restaurant for a beer.,joy,3,male,24
859,I had been drinking with a pal and I later (1 o' clock) had a date  á with my fiancee.  We were going to a Spanish lesson and I was á afraid that she would smell that I had been drinking.,fear,3,male,24
860,My fiancee and I were at my parent's place watching TV. There á were  only two TV-chairs and we were sitting on them when my á drunken brother came in and rudely chased my fiancee off the á chair she was sitting on.,anger,3,male,24
861,I had drunk a couple of beers and my fiancee got angry at me.,sadness,2,male,24
862,We were at a hamburger bar and a man at a table nearby started á coughing and spitting into his plate.,disgust,2,male,24
863,We got into a fight with some chaps in front of our family house. á The value of the property destroyed was approximately 15 000 FIM. á I felt ashamed when my parents came to know about this.,shame,3,male,24
864,We had had a party the night before and we still had some liquors á left the morning after. I went to the kitchen pretending to á prepare some tea and was caught by my fiancee pouring some rum á down my throat.,guilt,3,male,24
865,While dancing in a restaurant last week.,joy,2,male,22
866,I was on the Inter Rail in Naples alone. After an evening in a á restaurant I was going back to the hotel when a prostitute á approached me to sell herself. I refused but as I carried on á walking I felt that I was being followed by someone.,fear,2,male,22
867,When a girl left me.,anger,3,male,22
868,"I was on my way back from the Inter Rail, on board the ferry from á Stockholm when my father called me at 7 o'clock to tell me that my á uncle had died and that I would be seeing him off on his final á journey within four days.",sadness,4,male,22
869,"At the funeral of my uncle, I was one of the bearers.  I was not á familiar with the etiquette and acted tactlessly because of my á ignorance.",shame,4,male,22
870,My girlfriend gave me some feed-back and I understood that it á meant that our relationship was about to turn even closer.,joy,4,male,25
871,"At the dentist's, waiting for my turn to come.",fear,2,male,25
872,"While in the army, I was treated unfairly by my superiors.  I was á held responsible for a deed of which I was innocent.",anger,4,male,25
873,When I came to know that my grandmother had died.  She was very á close to me.,sadness,4,male,25
874,"In the army, an acquaintance of mine tended to use his position á to advance his own interests.",disgust,3,male,25
875,"When I lied to my girlfriend, telling her that I had passed an á exam, when I actually did not even take it.",shame,1,male,25
876,When I spoke ill of a fellow worker in the absence of this á person.,guilt,2,male,25
877,When I look at people around and know that people who are stupid á look stupid.,joy,4,male,26
878,When stupid people push me during rush time in the city.,anger,2,male,26
879,When I saw hundreds of snakes twisting over one another in a á movie.,disgust,3,male,26
880,I saw a skid-row (chronical) alcoholic and I was ashamed of the á people with a high standard of living.,shame,4,male,26
881,When I shot a bird in the head with a shotgun.,guilt,4,male,26
882,[ Being close to another person.],joy,3,male,20
883,[ Uncertainty about my own abilities in an exam.],fear,2,male,20
884,"Loneliness, being uncertain of myself in the Autumn.",sadness,2,male,20
885,A rich man expressing disgust towards an alcoholic.,disgust,3,male,20
886,[ The same as in shame.],guilt,3,male,20
887,I went to a doctor with a complaint. The doctor told me that I á was completely healthy.,joy,2,male,20
888,"My father was away from home and he did not come back when he was á expected, he came back several hours later than expected.",fear,2,male,20
889,"I had an implicit agreement with my sister about meeting her, á however she had not understood the situation the same way so she á did not turn up.",anger,3,male,20
890,I realized that the girl I loved had to leave me.,sadness,3,male,20
891,In the bus I was sitting next to a colleage who was drunk and á behaved in keeping with his state.,disgust,1,male,20
892,I had promised to help out with domestic chores and I forgot á about it.,shame,1,male,20
893,I had promised to call a girl but I did not do it.,guilt,1,male,20
894,When I unexpectedly received birthday greetings from a person I á like.,joy,1,male,19
895,I returned home late from a party last night and I felt afraid á trying to anticipate the reaction of my father.,fear,1,male,19
896,When I learned that my brother had spoilt an LP of mine.,anger,2,male,19
897,When I came to know that a girl I was fond of already had a á boyfriend.,sadness,2,male,19
898,A too eager approach by a dirty drunken person in a bus.,disgust,1,male,19
899,I made a major mistake while learning how to use a computer programme á and the teacher criticized me.,shame,1,male,19
900,"I reproached my mother's cooking and criticised her á personality, and she felt hurt and depressed.",guilt,2,male,19
901,I shot the decisive goal in an ice-hockey match.,joy,4,male,22
902,When I got lost in New York city a late friday night with a á friend of mine.,fear,3,male,22
903,After having quarelled with a relative of mine about politics.,anger,4,male,22
904,The death of my grandmother.,sadness,3,male,22
905,When I noticed that a nice person was being exploited á economically.,disgust,3,male,22
906,I slandered a person behind his back and he got to know about it.,shame,2,male,22
907,I had quarelled with a friend of mine and I later realized that á it was also my fault.,guilt,2,male,22
908,I passed an exam which I was not sure at all to pass.  I rejoyced á at the result because the possibility of continuing my studies á depended on it.,joy,2,male,27
909,"In the traffic with a car, I nearly got crushed between a bus and á a tram.  The attention of other drivers saved me at the last moment.",fear,3,male,27
910,"I was disappointed and angry at the bad quality of a documentay á program on TV.  In my opinion, the topic was important and the á program should have been made with seriousness and consideration.",anger,3,male,27
911,My father had a heart attack when I was not at home (I was still á living with them).  He recovered relatively well although he had á to retire (which implied relief from the stress of a small scale á enterprise).,sadness,3,male,27
